sample_id,audio_path,transcript_path,text
asosoft_0290,datasets/training_set/asosoft/audio/asosoft_0290.wav,datasets/training_set/asosoft/transcripts/asosoft_0290.txt,پزیشکەکان هیچ شتێکیان لەم بارەوە نەئەزانی
asosoft_0015,datasets/training_set/asosoft/audio/asosoft_0015.wav,datasets/training_set/asosoft/transcripts/asosoft_0015.txt,وەرگێڕانی مرۆڤ لە وەرگێڕانی ئامراز ڕێکوپێکترە
asosoft_0279,datasets/training_set/asosoft/audio/asosoft_0279.wav,datasets/training_set/asosoft/transcripts/asosoft_0279.txt,فەیلەسووف بونیادی گفتوگۆ دەنێت
asosoft_0133,datasets/training_set/asosoft/audio/asosoft_0133.wav,datasets/training_set/asosoft/transcripts/asosoft_0133.txt,وێناگەلێکی یەکجار سەقامگیر بەرهەم هێنراون
asosoft_0299,datasets/training_set/asosoft/audio/asosoft_0299.wav,datasets/training_set/asosoft/transcripts/asosoft_0299.txt,گریمانەی ئەو بووە هۆی سێ تێگەیشتنی جیاواز
asosoft_0236,datasets/training_set/asosoft/audio/asosoft_0236.wav,datasets/training_set/asosoft/transcripts/asosoft_0236.txt,ڕابردوو وای کرد داهاتووشم نەوێت
asosoft_0149,datasets/training_set/asosoft/audio/asosoft_0149.wav,datasets/training_set/asosoft/transcripts/asosoft_0149.txt,دەنگی زۆر بەرزتر و بەهێزتر بووە
asosoft_0120,datasets/training_set/asosoft/audio/asosoft_0120.wav,datasets/training_set/asosoft/transcripts/asosoft_0120.txt,بێدەسەڵاتی لێرە بە دواوە دەخرێتە بەر نیگای بەخشندەی خوێنەر
asosoft_0207,datasets/training_set/asosoft/audio/asosoft_0207.wav,datasets/training_set/asosoft/transcripts/asosoft_0207.txt,فەیلەسووف بونیادی گفتوگۆ دەنێت
asosoft_0277,datasets/training_set/asosoft/audio/asosoft_0277.wav,datasets/training_set/asosoft/transcripts/asosoft_0277.txt,وێناگەلێکی یەکجار سەقامگیر بەرهەم هێنراون
asosoft_0128,datasets/training_set/asosoft/audio/asosoft_0128.wav,datasets/training_set/asosoft/transcripts/asosoft_0128.txt,دواکەوتنێکی پڕنەهامەتی و چەرمەسەریی پێوە بوو
asosoft_0141,datasets/training_set/asosoft/audio/asosoft_0141.wav,datasets/training_set/asosoft/transcripts/asosoft_0141.txt,تا لەشت ساغە قەدری بزانە
asosoft_0212,datasets/training_set/asosoft/audio/asosoft_0212.wav,datasets/training_set/asosoft/transcripts/asosoft_0212.txt,ئەگەر تاژی زۆری تێبەردەی لە ڕاو دەکەوێت
asosoft_0221,datasets/training_set/asosoft/audio/asosoft_0221.wav,datasets/training_set/asosoft/transcripts/asosoft_0221.txt,دەنگی زۆر بەرزتر و بەهێزتر بووە
asosoft_0173,datasets/training_set/asosoft/audio/asosoft_0173.wav,datasets/training_set/asosoft/transcripts/asosoft_0173.txt,لەو هەموو وردبینییە سەریان سووڕ ما
asosoft_0067,datasets/training_set/asosoft/audio/asosoft_0067.wav,datasets/training_set/asosoft/transcripts/asosoft_0067.txt,تاسەی دۆعاکردن و نزا و پاڕانەوەی بەرەبەیانان دەکەم
asosoft_0121,datasets/training_set/asosoft/audio/asosoft_0121.wav,datasets/training_set/asosoft/transcripts/asosoft_0121.txt,پێشتریش واتای زۆر وشەم ڕوون کردبۆوە
asosoft_0217,datasets/training_set/asosoft/audio/asosoft_0217.wav,datasets/training_set/asosoft/transcripts/asosoft_0217.txt,هیچ جۆرە دەرمانێک بۆ ئەو نەخۆشییە نەبوو
asosoft_0280,datasets/training_set/asosoft/audio/asosoft_0280.wav,datasets/training_set/asosoft/transcripts/asosoft_0280.txt,شۆڕشی ڕاستەقینە ڕووئەدات
asosoft_0050,datasets/training_set/asosoft/audio/asosoft_0050.wav,datasets/training_set/asosoft/transcripts/asosoft_0050.txt,ناکرێت کولتوورێک لە بنەڕەتدا بە خراپ ناوزەد بکرێت
asosoft_0184,datasets/training_set/asosoft/audio/asosoft_0184.wav,datasets/training_set/asosoft/transcripts/asosoft_0184.txt,من بە چاوێکی واقیعبین سەیری دەکەم
asosoft_0122,datasets/training_set/asosoft/audio/asosoft_0122.wav,datasets/training_set/asosoft/transcripts/asosoft_0122.txt,ناکرێت کولتوورێک لە بنەڕەتدا بە خراپ ناوزەد بکرێت
asosoft_0150,datasets/training_set/asosoft/audio/asosoft_0150.wav,datasets/training_set/asosoft/transcripts/asosoft_0150.txt,هەرکام لەم قۆناغانە لەگەڵ سەردەمێک یەکتر دەگرنەوە
asosoft_0049,datasets/training_set/asosoft/audio/asosoft_0049.wav,datasets/training_set/asosoft/transcripts/asosoft_0049.txt,پێشتریش واتای زۆر وشەم ڕوون کردبۆوە
asosoft_0009,datasets/training_set/asosoft/audio/asosoft_0009.wav,datasets/training_set/asosoft/transcripts/asosoft_0009.txt,دەبێ وەرگێڕ لە نێوەڕۆکی دەق تێبگات
asosoft_0213,datasets/training_set/asosoft/audio/asosoft_0213.wav,datasets/training_set/asosoft/transcripts/asosoft_0213.txt,تا لەشت ساغە قەدری بزانە
asosoft_0228,datasets/training_set/asosoft/audio/asosoft_0228.wav,datasets/training_set/asosoft/transcripts/asosoft_0228.txt,لە ڕاستیدا وانەی ئەو بریتییە لە گەلێک بواری زانستی
